Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
39,多頭出場,2023-02-10 12:45,EXIT_TIME|XRD=-0.3122|BH=2,30.25,1,30.25,0,0.00,0,0.00,0,0.00,0.35,0.00
39,多頭進場,2023-02-10 12:35,ENTRY|RD=-0.2508|VR=8.3655|S1=-0.0994|S3=-0.0205|E5=0|E15=0|T5=0.0992|T15=0.0205|RV10=0.0415|MSO=210|MTC=60|SID=4|SCT=3|HP=0,30.25,1,30.25,0,0.00,0,0.00,0,0.00,0.35,0.00
40,多頭出場,2023-02-14 11:45,EXIT_STOP|XRD=-0.6646|BH=1,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.35,0.00
40,多頭進場,2023-02-14 11:40,ENTRY|RD=-0.7264|VR=1.6369|S1=-0.0264|S3=-0.0341|E5=0.0822|E15=0.1646|T5=0.1079|T15=0.1973|RV10=0.0527|MSO=155|MTC=115|SID=4|SCT=1|HP=0,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.35,0.00
41,多頭出場,2023-02-14 12:05,EXIT_STOP|XRD=-0.7073|BH=1,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.35,0.00
41,多頭進場,2023-02-14 12:00,ENTRY|RD=-0.5585|VR=1.7826|S1=0.036|S3=0.1061|E5=0.0411|E15=0.0822|T5=0.0052|T15=-0.0236|RV10=0.0421|MSO=175|MTC=95|SID=4|SCT=2|HP=0,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.35,0.00
42,多頭出場,2023-02-14 12:50,EXIT_STOP|XRD=-0.6246|BH=1,30.4,1,30.45,-0.05,-0.16,0,0.00,-0.05,-0.16,0.3,0.00
42,多頭進場,2023-02-14 12:45,ENTRY|RD=-0.6182|VR=1.7744|S1=-0.0117|S3=0.0172|E5=0|E15=0|T5=0.0116|T15=-0.0171|RV10=0.0429|MSO=220|MTC=50|SID=4|SCT=3|HP=0,30.45,1,30.45,-0.05,-0.16,0,0.00,-0.05,-0.16,0.3,0.00
43,多頭出場,2023-02-14 13:05,EXIT_STOP|XRD=-0.5752|BH=1,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.3,0.00
43,多頭進場,2023-02-14 13:00,ENTRY|RD=-0.6067|VR=2.2037|S1=0.0267|S3=0.0114|E5=0|E15=0|T5=-0.0265|T15=-0.0113|RV10=0.0288|MSO=235|MTC=35|SID=5|SCT=4|HP=1,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.3,0.00
44,多頭出場,2023-03-01 09:25,EXIT_TIME|XRD=-0.1703|BH=2,29.45,1,29.35,0.1,0.34,0.1,0.34,-0.05,-0.17,0.4,0.00
44,多頭進場,2023-03-01 09:15,ENTRY|RD=-0.2384|VR=3.0671|S1=-0.1443|S3=-0.1393|E5=-0.1276|E15=-1.386|T5=0.0164|T15=-1.3394|RV10=0.4436|MSO=10|MTC=260|SID=2|SCT=1|HP=0,29.35,1,29.35,0.1,0.34,0.1,0.34,-0.05,-0.17,0.4,0.00
45,多頭出場,2023-03-06 10:40,EXIT_STOP|XRD=-0.5746|BH=1,30.15,1,30.1,0.05,0.17,0.05,0.17,0,0.00,0.45,0.00
45,多頭進場,2023-03-06 10:35,ENTRY|RD=-0.6253|VR=1.6021|S1=-0.0904|S3=-0.7503|E5=0|E15=0.2496|T5=0.0896|T15=1.0002|RV10=0.0945|MSO=90|MTC=180|SID=4|SCT=1|HP=0,30.1,1,30.1,0.05,0.17,0.05,0.17,0,0.00,0.45,0.00
