Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
62,多頭進場,2023-08-01 09:15,Long 0050,32.35,1,32.35,0,0.00,0,0.00,0,0.00,0.65,0.00
63,多頭出場,2023-08-21 13:10,Close entry(s) order Long 0050,30.8,1,30.8,0,0.00,0.05,0.16,0,0.00,0.65,0.00
63,多頭進場,2023-08-21 13:00,Long 0050,30.8,1,30.8,0,0.00,0.05,0.16,0,0.00,0.65,0.00
64,多頭出場,2023-08-23 09:20,Close entry(s) order Long 0050,31.2,1,31.15,0.05,0.16,0.05,0.16,0,0.00,0.7,0.00
64,多頭進場,2023-08-23 09:15,Long 0050,31.15,1,31.15,0.05,0.16,0.05,0.16,0,0.00,0.7,0.00
65,多頭出場,2023-08-25 12:55,Close entry(s) order Long 0050,31.2,1,31.2,0,0.00,0,0.00,0,0.00,0.7,0.00
65,多頭進場,2023-08-25 12:45,Long 0050,31.2,1,31.2,0,0.00,0,0.00,0,0.00,0.7,0.00
66,多頭出場,2023-08-29 09:25,Close entry(s) order Long 0050,31.35,1,31.35,0,0.00,0,0.00,-0.05,-0.16,0.7,0.00
66,多頭進場,2023-08-29 09:15,Long 0050,31.35,1,31.35,0,0.00,0,0.00,-0.05,-0.16,0.7,0.00
67,多頭出場,2023-09-11 09:35,Close entry(s) order Long 0050,30.9,1,31.05,-0.15,-0.48,0,0.00,-0.15,-0.48,0.55,0.00
67,多頭進場,2023-09-11 09:25,Long 0050,31.05,1,31.05,-0.15,-0.48,0,0.00,-0.15,-0.48,0.55,0.00
68,多頭出場,2023-09-11 09:50,Close entry(s) order Long 0050,30.9,1,30.9,0,0.00,0.05,0.16,0,0.00,0.55,0.00
68,多頭進場,2023-09-11 09:40,Long 0050,30.9,1,30.9,0,0.00,0.05,0.16,0,0.00,0.55,0.00
69,多頭出場,2023-09-11 10:30,Close entry(s) order Long 0050,30.95,1,30.9,0.05,0.16,0.05,0.16,0,0.00,0.6,0.00
69,多頭進場,2023-09-11 10:20,Long 0050,30.9,1,30.9,0.05,0.16,0.05,0.16,0,0.00,0.6,0.00
70,多頭出場,2023-09-11 12:05,Close entry(s) order Long 0050,30.9,1,30.85,0.05,0.16,0.05,0.16,0,0.00,0.65,0.00
70,多頭進場,2023-09-11 11:55,Long 0050,30.85,1,30.85,0.05,0.16,0.05,0.16,0,0.00,0.65,0.00
71,多頭出場,2023-09-27 12:50,Close entry(s) order Long 0050,30.55,1,30.5,0.05,0.16,0.05,0.16,0,0.00,0.7,0.00
71,多頭進場,2023-09-27 12:40,Long 0050,30.5,1,30.5,0.05,0.16,0.05,0.16,0,0.00,0.7,0.00
72,多頭出場,2023-09-28 11:10,Close entry(s) order Long 0050,30.55,1,30.55,0,0.00,0,0.00,0,0.00,0.7,0.00
72,多頭進場,2023-09-28 11:00,Long 0050,30.55,1,30.55,0,0.00,0,0.00,0,0.00,0.7,0.00
73,多頭出場,2023-10-02 12:05,Close entry(s) order Long 0050,31.1,1,31.1,0,0.00,0,0.00,0,0.00,0.7,0.00
73,多頭進場,2023-10-02 12:00,Long 0050,31.1,1,31.1,0,0.00,0,0.00,0,0.00,0.7,0.00
74,多頭出場,2023-10-02 12:30,Close entry(s) order Long 0050,31.1,1,31.1,0,0.00,0,0.00,0,0.00,0.7,0.00
74,多頭進場,2023-10-02 12:25,Long 0050,31.1,1,31.1,0,0.00,0,0.00,0,0.00,0.7,0.00
75,多頭出場,2023-10-02 12:45,Close entry(s) order Long 0050,31.05,1,31.05,0,0.00,0,0.00,0,0.00,0.7,0.00
75,多頭進場,2023-10-02 12:40,Long 0050,31.05,1,31.05,0,0.00,0,0.00,0,0.00,0.7,0.00
76,多頭出場,2023-10-16 12:35,Close entry(s) order Long 0050,31.5,1,31.45,0.05,0.16,0.05,0.16,0,0.00,0.75,0.00
76,多頭進場,2023-10-16 12:25,Long 0050,31.45,1,31.45,0.05,0.16,0.05,0.16,0,0.00,0.75,0.00
77,多頭出場,2023-10-23 10:15,Close entry(s) order Long 0050,31,1,31.05,-0.05,-0.16,0,0.00,-0.05,-0.16,0.7,0.00
77,多頭進場,2023-10-23 10:05,Long 0050,31.05,1,31.05,-0.05,-0.16,0,0.00,-0.05,-0.16,0.7,0.00
78,多頭出場,2023-10-23 12:45,Close entry(s) order Long 0050,30.95,1,30.95,0,0.00,0,0.00,0,0.00,0.7,0.00
